bag,relative_sec,level,node,message
25july.bag,4.27182022,30,planner_server,No planners specified in action call. Server will use only plugin GridBased  in server. This warning will appear once.
25july.bag,7.34819001,20,controller_server,"Received a goal, begin computing control effort."
25july.bag,7.348672421,30,controller_server,No goal checker was specified in parameter 'current_goal_checker'. Server will use only plugin loaded general_goal_checker . This warning will appear once.
25july.bag,24.848646305,20,controller_server,Reached the goal!
25july.bag,24.857903719,20,controller_server,"Received a goal, begin computing control effort."
25july.bag,24.858115126,20,controller_server,Reached the goal!
25july.bag,24.898535867,20,bt_navigator,Goal succeeded
25july.bag,25.105425555,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.105473737,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.39, 19.26)"
25july.bag,25.105510799,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.109881994,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.109937642,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.49, 18.96)"
25july.bag,25.109956528,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.113850944,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.113920899,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.54, 18.56)"
25july.bag,25.113974703,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.118011474,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.118073774,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.59, 18.11)"
25july.bag,25.118112428,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.122789203,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.122820283,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.49, 16.66)"
25july.bag,25.122842255,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.126468705,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.126544231,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.94, 16.21)"
25july.bag,25.126653231,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.130812047,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.130852525,30,planner_server,"Planning algorithm  failed to generate a valid path to (9.69, 17.36)"
25july.bag,25.130884867,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.135702363,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.135743061,30,planner_server,"Planning algorithm  failed to generate a valid path to (9.44, 17.11)"
25july.bag,25.135776496,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.200563252,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.200638947,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.09, 14.51)"
25july.bag,25.200677422,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.206470508,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.206537827,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.34, 19.06)"
25july.bag,25.206586381,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.210952276,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.210986372,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.14, 19.16)"
25july.bag,25.211019907,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,25.31166056,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,25.311684346,30,planner_server,"Planning algorithm  failed to generate a valid path to (2.89, 20.11)"
